Label,VoxelCount,Volume,Subtracted_Volume,Volume_Delta,Centroid.X,Centroid.Y,Centroid.Z
1,30364,30364,30235,129,506.142,137.317,11.454
2,28139,28139,28127,12,548.209,157.526,13.022
3,26241,26241,26074,167,577.228,160.454,9.652
4,28444,28444,28367,77,608.826,162.637,13.835
5,49159,49159,49071,88,795.200,157.736,17.284
6,30052,30052,29964,88,302.575,178.814,11.382
7,39107,39107,39066,41,440.020,172.467,15.885
8,29822,29822,29822,0,768.618,162.363,15.737
9,26446,26446,26187,259,688.258,196.040,8.368
10,18632,18632,18596,36,768.935,199.817,6.192
11,27951,27951,27938,13,395.327,197.618,11.592
12,35116,35116,35078,38,857.079,201.262,8.721
13,26342,26342,26315,27,637.856,213.569,9.581
14,24207,24207,24195,12,611.481,228.844,9.430
15,20320,20320,20216,104,735.628,223.357,6.933
16,27893,27893,27912,-19,332.561,222.217,9.398
17,26353,26353,26314,39,529.016,224.885,10.765
18,66342,66342,66133,209,570.457,238.723,17.333
19,15188,15188,15089,99,478.939,228.700,5.161
20,25943,25943,25911,32,435.001,235.337,9.500
21,29658,29658,29577,81,824.410,231.238,9.846
22,21755,21755,21709,46,756.098,237.888,10.613
23,34524,34524,34401,123,775.870,214.410,18.301
24,33834,33834,33834,0,792.243,251.942,9.870
25,28899,28899,28871,28,867.942,254.151,8.378
26,28163,28163,27819,344,164.891,241.143,9.924
27,32065,32065,32065,0,643.398,249.442,16.895
28,29050,29050,29050,0,541.073,258.765,11.829
29,15280,15280,15280,0,511.441,259.682,6.734
30,25972,25972,25910,62,625.341,269.871,11.090
31,16966,16966,16966,0,664.620,274.390,5.413
32,24401,24401,24401,0,684.788,261.058,11.419
33,25434,25434,25434,0,383.112,253.439,13.414
34,26743,26743,26733,10,222.395,254.837,10.646
35,19716,19716,19774,-58,436.043,272.269,5.841
36,28558,28558,28491,67,728.399,268.876,11.846
37,12719,12719,12822,-103,400.034,273.304,7.131
38,14053,14053,14053,0,120.254,259.552,10.777
39,80313,80313,80256,57,757.686,277.627,19.624
40,10262,10262,10262,0,101.268,263.547,7.947
41,23854,23854,23696,158,704.737,280.679,12.084
42,39911,39911,39675,236,836.396,269.106,13.765
43,31338,31338,31338,0,310.978,259.650,18.255
44,13269,13269,13269,0,320.911,281.588,5.793
45,29963,29963,29944,19,499.632,281.688,13.974
46,29513,29513,29513,0,601.002,285.313,10.412
47,34079,34079,34018,61,468.761,295.006,12.632
48,20894,20894,20848,46,235.369,288.168,6.463
49,52657,52657,52647,10,910.798,288.636,14.568
50,13273,13273,13278,-5,521.824,297.849,5.462
51,21971,21971,22008,-37,637.440,306.090,7.216
52,29504,29504,29504,0,160.337,289.592,8.945
53,34080,34080,34032,48,972.136,288.491,12.939
54,34681,34681,34599,82,561.885,319.169,11.912
55,23031,23031,22992,39,362.464,302.314,13.780
56,28089,28089,28052,37,729.762,313.057,7.051
57,18813,18813,18813,0,409.037,322.726,7.426
58,21792,21792,21792,0,334.216,315.474,12.633
59,31233,31233,31216,17,486.684,323.074,8.771
60,29629,29629,29629,0,769.557,321.217,10.358
61,37420,37420,37295,125,588.074,333.623,10.601
62,13353,13353,13362,-9,7.304,323.651,12.320
63,20933,20933,20934,-1,272.697,331.485,5.537
64,27165,27165,27079,86,692.104,325.525,11.686
65,20559,20559,20585,-26,532.178,329.476,9.703
66,29597,29597,29597,0,828.607,337.877,6.203
67,31319,31319,31202,117,620.512,337.898,11.376
68,41918,41918,41865,53,448.366,353.324,11.939
69,27189,27189,27136,53,202.950,328.621,15.109
70,26184,26184,26251,-67,365.877,335.279,12.967
71,56373,56373,56345,28,734.764,358.864,11.682
72,38054,38054,38028,26,504.521,366.624,9.758
73,30713,30713,30807,-94,779.386,359.711,8.245
74,15233,15233,15220,13,309.049,355.503,8.618
75,14440,14440,14360,80,367.013,365.591,7.031
76,35075,35075,35065,10,657.070,340.237,13.154
77,32951,32951,32968,-17,484.381,354.590,20.254
78,28842,28842,28838,4,268.079,359.305,16.481
79,39281,39281,39269,12,597.505,370.383,13.115
80,24679,24679,24307,372,640.152,378.193,7.815
81,29438,29438,29384,54,701.806,382.194,6.067
82,52624,52624,52722,-98,805.122,354.529,18.183
83,19804,19804,19812,-8,392.755,380.292,8.610
84,23437,23437,23437,0,563.860,384.849,8.422
85,34507,34507,34492,15,531.937,382.827,10.934
86,9939,9939,9976,-37,157.211,388.079,3.877
87,29528,29528,29557,-29,893.207,362.428,13.845
88,32194,32194,32024,170,665.528,375.608,18.352
89,21024,21024,21024,0,302.709,382.810,12.783
90,38483,38483,38508,-25,265.781,389.352,15.918
91,14451,14451,14459,-8,330.362,393.655,8.542
92,46546,46546,46739,-193,792.874,389.647,16.458
93,39064,39064,39093,-29,754.269,404.638,10.823
94,13243,13243,13243,0,498.761,403.292,6.371
95,17815,17815,17789,26,620.261,405.638,10.518
96,8032,8032,8032,0,181.631,402.690,4.340
97,7229,7229,7229,0,381.827,410.379,4.124
98,26724,26724,26687,37,645.312,417.801,10.648
99,21404,21404,21400,4,684.049,418.969,6.904
100,49043,49043,49043,0,34.874,412.283,20.457
101,18430,18430,18430,0,324.488,418.316,8.848
102,25383,25383,25374,9,897.683,400.956,14.192
103,45925,45925,45925,0,434.922,422.613,16.239
104,15761,15761,15761,0,599.602,423.899,7.837
105,17226,17226,17226,0,463.410,425.229,8.732
106,22843,22843,22839,4,482.139,433.438,15.526
107,13786,13786,13786,0,506.881,431.992,7.474
108,19114,19114,19114,0,529.897,432.240,9.854
109,17604,17604,17604,0,549.876,437.060,7.970
110,43791,43791,43791,0,569.636,431.166,17.685
111,24367,24367,24367,0,109.548,429.198,7.327
112,30316,30316,30305,11,284.078,438.271,10.635
113,24598,24598,24567,31,800.755,426.197,11.000
114,11917,11917,11917,0,165.064,441.213,5.410
115,25615,25615,25615,0,880.776,426.980,11.092
116,31418,31418,31330,88,703.102,436.136,17.225
117,9675,9675,9675,0,390.681,436.030,6.796
118,17813,17813,17813,0,372.945,447.975,11.090
119,46827,46827,46752,75,676.856,451.272,16.241
120,22009,22009,22009,0,733.062,449.614,7.903
121,4085,4085,4085,0,323.076,444.850,3.906
122,37206,37206,37206,0,611.527,453.064,11.484
123,40136,40136,40118,18,772.675,445.467,12.038
124,12038,12038,12038,0,451.046,455.009,6.911
125,16681,16681,16681,0,143.943,460.617,5.960
126,31931,31931,31931,0,46.036,453.918,22.482
127,7066,7066,7066,0,313.511,465.250,4.469
128,4243,4243,4367,-124,654.532,463.442,3.523
129,15400,15400,15331,69,476.273,468.958,7.002
130,21375,21375,21375,0,395.436,469.702,7.724
131,25326,25326,25326,0,878.363,468.758,11.596
132,31835,31835,31835,0,928.694,474.567,11.391
133,39664,39664,39664,0,513.863,460.427,16.408
134,49561,49561,49338,223,744.310,468.237,16.038
135,16167,16167,16167,0,583.989,482.028,6.084
136,26306,26306,26297,9,581.278,454.573,24.738
137,38576,38576,38576,0,365.386,475.745,16.556
138,14029,14029,14012,17,554.680,481.232,7.472
139,16410,16410,16407,3,449.870,483.516,9.100
140,23461,23461,23461,0,117.613,482.254,8.914
141,38889,38889,38878,11,231.416,481.775,13.460
142,12695,12695,12695,0,857.630,497.183,5.650
143,43910,43910,43910,0,677.248,504.124,10.053
144,44661,44661,44591,70,528.805,492.513,17.388
145,26248,26248,26171,77,427.487,480.151,17.616
146,11898,11898,11884,14,626.440,503.364,4.135
147,20520,20520,20504,16,709.957,495.544,7.464
148,41752,41752,41585,167,602.674,501.215,16.953
149,19138,19138,19138,0,783.183,513.809,6.708
150,1061,1061,1061,0,137.394,495.453,10.858
151,42382,42382,42283,99,470.531,504.468,17.360
152,10956,10956,10956,0,122.775,505.133,9.670
153,27739,27739,27747,-8,410.851,510.092,7.996
154,342,342,342,0,109.056,499.468,12.132
155,9549,9549,9549,0,822.127,527.192,3.712
156,21545,21545,21545,0,238.600,511.242,15.592
157,9344,9344,9344,0,653.516,523.482,4.315
158,5144,5144,5144,0,540.847,521.822,4.411
159,22830,22830,22830,0,171.127,526.606,8.438
160,27678,27678,27678,0,1004.878,515.248,13.979
161,30450,30450,30423,27,73.078,520.792,23.442
162,34722,34722,34704,18,367.045,533.358,17.579
163,6245,6245,6245,0,505.702,530.746,3.872
164,9625,9625,9615,10,588.170,538.838,5.992
165,28557,28557,28583,-26,565.873,533.016,15.106
166,22526,22526,22628,-102,874.597,534.626,9.147
167,30720,30720,30720,0,316.440,545.220,10.739
168,16234,16234,16172,62,424.529,544.662,8.228
169,89548,89548,89548,0,618.316,539.747,21.602
170,21585,21585,21583,2,275.422,544.250,8.533
171,44105,44105,44105,0,543.884,563.863,9.977
172,17422,17422,17422,0,196.312,553.287,9.151
173,26544,26544,26537,7,83.851,554.567,10.045
174,10025,10025,9992,33,785.248,552.567,4.641
175,19156,19156,19156,0,346.307,559.624,11.123
176,24899,24899,24899,0,31.845,545.557,11.937
177,1665,1665,1665,0,159.162,542.468,4.443
178,38091,38091,38086,5,513.905,553.906,15.730
179,409,409,409,0,658.313,544.440,2.719
180,36362,36362,36302,60,476.917,554.861,13.708
181,16187,16187,16171,16,210.192,572.063,8.592
182,67126,67126,67044,82,676.062,559.705,19.880
183,21523,21523,21523,0,855.990,562.577,8.523
184,23193,23193,23193,0,720.635,575.818,7.478
185,72703,72703,72611,92,642.503,571.423,19.380
186,10425,10425,10420,5,574.722,573.456,6.103
187,14371,14371,14371,0,244.574,577.360,5.364
188,9106,9106,9106,0,417.209,585.173,4.650
189,40219,40219,40219,0,585.176,576.320,21.749
190,27412,27412,27412,0,401.372,577.173,18.037
191,14598,14598,14598,0,802.107,588.240,6.229
192,5740,5740,5625,115,480.613,591.183,6.155
