Label,VoxelCount,Volume,Centroid.X,Centroid.Y,Centroid.Z
856,2154,2154,2.589,222.822,35.473
857,47662,47662,473.267,239.562,49.210
858,47702,47702,901.719,251.406,49.468
859,44248,44248,113.162,272.268,46.649
860,28169,28169,252.764,264.776,43.913
861,43583,43583,983.448,285.991,47.500
862,23359,23359,110.006,382.931,45.020
863,39525,39525,452.188,399.310,51.739
864,13670,13670,726.630,383.653,44.802
865,38306,38306,565.312,460.191,42.787
866,28741,28741,383.779,567.252,43.269
867,22517,22517,238.184,558.561,44.330
868,24599,24599,273.779,559.560,44.325
869,20696,20696,140.128,575.056,41.228
870,32924,32924,844.318,616.348,48.664
871,23284,23284,993.807,665.827,43.975
872,28153,28153,543.088,698.519,48.445
873,37585,37585,306.826,736.740,46.452
874,26179,26179,274.185,736.761,40.739
875,35610,35610,450.555,751.684,46.992
876,35682,35682,64.314,787.077,51.046
877,47548,47548,677.478,801.356,47.427
878,33220,33220,535.924,887.776,42.538
879,29102,29102,630.721,921.080,42.336
880,37024,37024,361.052,946.874,44.871
881,793,793,316.654,5.197,31.014
882,23786,23786,973.458,19.738,42.642
883,30824,30824,604.941,40.207,47.277
884,23600,23600,880.837,56.908,44.391
885,39768,39768,76.392,66.027,48.379
886,23857,23857,159.564,131.495,43.108
887,36278,36278,989.282,143.105,37.912
888,23563,23563,35.744,154.228,46.103
889,25807,25807,988.011,384.968,44.164
890,28198,28198,920.951,391.922,46.526
891,35805,35805,962.679,403.110,49.405
892,35962,35962,79.032,436.729,49.493
893,36580,36580,611.858,461.089,45.818
894,45363,45363,711.215,526.723,49.558
895,24531,24531,900.037,589.569,44.455
896,26409,26409,443.718,676.809,43.874
897,24315,24315,319.969,701.274,44.441
898,49006,49006,642.022,733.516,51.450
899,21108,21108,867.745,757.252,48.029
900,26209,26209,848.954,779.664,43.642
901,29562,29562,741.317,783.738,44.474
902,30088,30088,508.080,818.513,49.427
903,30169,30169,702.819,822.036,45.478
904,30170,30170,501.891,854.540,45.858
905,21849,21849,10.076,857.557,49.877
906,23873,23873,238.309,1012.550,48.546
907,232,232,309.341,10.353,32.220
908,39380,39380,134.031,143.412,51.748
909,39752,39752,650.793,152.211,50.252
910,40350,40350,90.259,164.826,50.140
911,39759,39759,187.965,190.941,51.704
912,40013,40013,829.508,184.474,54.717
913,27754,27754,423.738,286.252,45.632
914,24164,24164,199.758,288.224,44.889
915,22863,22863,1009.857,317.642,45.851
916,24617,24617,340.991,385.328,45.084
917,15990,15990,7.882,400.980,45.315
918,39801,39801,326.198,456.162,50.448
919,21678,21678,295.163,495.345,49.783
920,23701,23701,148.526,495.525,44.991
921,19411,19411,146.791,756.231,45.052
922,5088,5088,3.994,835.051,44.802
923,33982,33982,351.343,994.027,45.093
924,13266,13266,207.168,1012.444,40.796
925,23573,23573,474.148,1013.645,45.810
926,18743,18743,264.061,11.488,43.183
927,40414,40414,784.743,25.066,52.519
928,24475,24475,285.269,44.839,42.885
929,29491,29491,596.445,164.667,46.186
930,31051,31051,667.768,191.072,49.432
931,1419,1419,116.329,206.991,35.004
932,46398,46398,293.454,236.317,51.509
933,39683,39683,603.585,258.740,45.203
934,19667,19667,81.970,283.304,49.783
935,65447,65447,635.672,300.704,52.749
936,31108,31108,183.457,306.057,51.599
937,29912,29912,861.819,305.074,46.028
938,22454,22454,93.067,321.751,48.667
939,27249,27249,269.968,377.081,49.833
940,54730,54730,741.864,400.169,55.667
941,31125,31125,898.134,401.612,52.233
942,25403,25403,373.090,457.733,47.302
943,14286,14286,1013.883,464.088,44.202
944,37169,37169,348.993,479.414,53.499
945,28221,28221,13.870,569.141,49.920
946,43458,43458,621.007,564.284,50.255
947,42944,42944,395.162,615.695,51.716
948,32534,32534,517.833,696.420,46.872
949,30989,30989,957.586,713.817,49.911
950,29039,29039,996.500,719.891,49.709
951,33873,33873,410.549,884.398,48.857
952,29876,29876,753.219,886.553,47.923
953,24940,24940,560.860,902.590,45.637
954,31982,31982,255.164,964.355,51.122
955,378,378,306.439,15.944,39.627
956,22333,22333,198.884,48.525,45.970
957,44211,44211,661.127,65.083,53.452
958,23556,23556,519.859,96.856,48.151
959,41815,41815,678.585,106.035,52.002
960,15559,15559,5.896,307.927,47.863
961,40954,40954,347.568,310.446,51.238
962,27171,27171,860.976,331.035,51.139
963,41553,41553,482.188,401.969,50.657
964,37817,37817,367.920,504.219,50.931
965,19167,19167,683.594,510.171,43.719
966,40647,40647,432.150,640.158,55.438
967,42711,42711,479.415,659.824,52.731
968,22510,22510,31.465,679.692,46.569
969,22454,22454,217.905,742.470,46.707
970,23306,23306,402.745,749.330,49.796
971,26856,26856,808.875,797.383,47.655
972,22872,22872,829.075,897.510,44.130
973,28573,28573,462.552,160.279,45.788
974,4228,4228,1016.847,208.413,44.355
975,45251,45251,786.464,210.962,54.097
976,11369,11369,726.776,502.842,42.804
977,99,99,718.576,504.354,39.172
978,30305,30305,748.351,589.462,44.618
979,38914,38914,868.712,608.709,52.481
980,24504,24504,280.260,699.798,47.310
981,3714,3714,621.469,718.250,39.424
982,31014,31014,280.283,845.182,51.800
983,29046,29046,691.573,896.845,47.447
984,22206,22206,851.256,906.222,46.461
985,35328,35328,284.165,924.708,52.303
986,29034,29034,522.452,928.474,46.488
987,38417,38417,834.450,958.633,52.254
988,43439,43439,286.618,1001.379,49.675
989,8539,8539,558.394,4.516,49.979
990,25632,25632,241.091,47.712,50.155
991,23234,23234,323.066,58.468,48.644
992,22534,22534,126.500,72.540,46.278
993,32772,32772,929.690,74.010,47.858
994,54575,54575,913.246,112.797,55.337
995,44931,44931,348.783,121.871,54.368
996,26994,26994,712.146,123.284,50.374
997,40314,40314,482.722,180.686,54.730
998,32699,32699,851.496,245.785,53.738
999,34265,34265,784.864,281.941,52.727
1000,31084,31084,512.377,323.903,52.265
1001,38725,38725,882.584,351.658,53.433
1002,43258,43258,829.635,345.582,53.767
1003,33761,33761,173.581,400.351,53.449
1004,36660,36660,770.543,443.591,48.352
1005,32515,32515,460.880,452.211,49.682
1006,31803,31803,469.249,488.974,50.187
1007,94,94,719.298,503.968,38.989
1008,26007,26007,924.216,510.626,49.361
1009,25522,25522,972.362,535.408,48.343
1010,34906,34906,361.244,547.675,54.273
1011,23668,23668,805.752,552.378,47.623
1012,33322,33322,46.398,571.343,52.031
1013,32780,32780,352.642,614.540,54.474
1014,42359,42359,551.227,606.039,51.635
1015,26461,26461,984.235,619.583,48.212
1016,44009,44009,902.747,638.942,53.520
1017,26240,26240,348.232,681.760,49.066
1018,30685,30685,388.114,705.380,48.036
1019,20641,20641,102.199,755.085,49.766
1020,31944,31944,410.662,779.768,54.652
1021,31278,31278,13.270,807.852,53.055
1022,26053,26053,64.388,815.268,54.500
1023,34153,34153,940.712,950.584,47.394
1024,43019,43019,452.146,949.714,53.131
1025,17184,17184,656.141,1005.201,42.462
1026,37235,37235,332.105,1010.036,56.280
1027,11497,11497,862.931,5.924,51.387
1028,22568,22568,37.168,102.451,49.706
1029,28846,28846,242.329,214.584,50.723
1030,35099,35099,508.595,246.357,54.105
1031,30291,30291,175.819,232.905,55.049
1032,27107,27107,19.369,260.629,54.171
1033,23488,23488,39.281,321.631,51.918
1034,24258,24258,917.902,345.239,50.600
1035,24247,24247,920.388,434.478,51.497
1036,46486,46486,531.831,464.090,54.761
1037,34006,34006,313.093,524.655,54.515
1038,19506,19506,155.478,626.442,47.128
1039,26146,26146,706.280,690.636,52.260
1040,36227,36227,871.891,706.670,53.468
1041,42494,42494,924.952,732.281,51.674
1042,31614,31614,608.149,747.967,50.452
1043,13539,13539,1014.691,735.404,48.994
1044,20359,20359,25.584,768.038,49.381
1045,31215,31215,360.248,834.049,56.836
1046,36306,36306,91.416,887.669,53.683
1047,28919,28919,38.770,886.899,54.054
1048,37509,37509,393.402,1011.625,52.191
1049,22258,22258,553.561,1008.139,46.782
1050,1324,1324,262.208,1020.779,40.884
1051,467,467,174.105,39.520,37.338
1052,30140,30140,15.444,53.781,54.550
1053,26687,26687,872.175,89.640,50.680
1054,43258,43258,921.320,145.681,54.395
1055,34120,34120,355.257,165.228,52.830
1056,53006,53006,871.383,170.119,56.044
1057,24659,24659,401.120,197.768,52.683
1058,39534,39534,346.748,249.265,54.118
1059,25345,25345,979.198,352.345,51.481
1060,41228,41228,760.944,371.031,50.622
1061,35193,35193,429.825,476.313,53.888
1062,31685,31685,637.886,466.510,51.293
1063,524,524,806.691,491.365,38.116
1064,18273,18273,105.165,506.258,50.309
1065,49715,49715,796.793,486.513,53.926
1066,65188,65188,673.016,538.111,55.379
1067,43266,43266,896.312,555.160,57.358
1068,42172,42172,695.312,643.398,54.919
1069,22135,22135,405.870,692.236,54.059
1070,30382,30382,454.846,690.269,53.819
1071,28731,28731,673.678,677.152,51.518
1072,39705,39705,736.865,707.503,55.150
1073,26228,26228,638.891,888.496,49.333
1074,2875,2875,29.246,1019.435,43.782
1075,6120,6120,826.112,1017.235,44.616
1076,4111,4111,455.221,3.051,50.508
1077,31525,31525,833.154,19.633,53.625
1078,27462,27462,449.513,28.396,54.028
1079,32617,32617,897.343,44.478,53.893
1080,26597,26597,41.910,58.765,55.600
1081,26594,26594,209.257,86.522,51.722
1082,23007,23007,145.163,110.428,52.321
1083,30289,30289,798.817,142.542,53.056
1084,32738,32738,161.600,174.761,56.196
1085,18537,18537,9.385,191.860,53.561
1086,47349,47349,916.120,198.901,55.638
1087,20071,20071,202.303,230.751,55.201
